gu,dong,title,price,time,link,status
강남구,청담동,닌텐도 스위치 스플래툰2,20000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EC%8A%A4%ED%94%8C%EB%9E%98%ED%88%B02-hqvg4r7ovroo/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중
강남구,청담동,닌텐도 스위치 oled 박스 풀셋,300000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%EB%B0%95%EC%8A%A4-%ED%92%80%EC%85%8B-dgzcv1fax5xc/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중
강남구,청담동,"닌텐도 스위치 OLED , 프로콘",330000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%94%84%EB%A1%9C%EC%BD%98-qmuwu4zx7ny9/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중
강남구,청담동,닌텐도 스위치 마리오골프 슈퍼러시 + 이이네 조이콘 골프채 네온,50000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%A7%88%EB%A6%AC%EC%98%A4%EA%B3%A8%ED%94%84-%EC%8A%88%ED%8D%BC%EB%9F%AC%EC%8B%9C-%EC%9D%B4%EC%9D%B4%EB%84%A4-%EC%A1%B0%EC%9D%B4%EC%BD%98-%EA%B3%A8%ED%94%84%EC%B1%84-%EB%84%A4%EC%98%A8-vj9yqu94xws8/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중
강남구,청담동,스플래툰2 닌텐도스위치,20000.0,,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%94%8C%EB%9E%98%ED%88%B02-%EB%8B%8C%ED%85%90%EB%8F%84%EC%8A%A4%EC%9C%84%EC%B9%98-wqrqkxnmaevk/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중
강남구,청담동,"닌텐도 스위치, 동물의 숲, 스매시브라더스 같이 가져가세요",200000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%8F%99%EB%AC%BC%EC%9D%98-%EC%88%B2-%EC%8A%A4%EB%A7%A4%EC%8B%9C%EB%B8%8C%EB%9D%BC%EB%8D%94%EC%8A%A4-%EA%B0%99%EC%9D%B4-%EA%B0%80%EC%A0%B8%EA%B0%80%EC%84%B8%EC%9A%94-n84oxhcjj5dx/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중
강남구,청담동,청담동,280000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EC%A0%A4%EB%8B%A4%EC%9D%98-%EC%A0%84%EC%84%A4-%EB%B8%8C%EB%A0%88%EC%8A%A4-%EC%98%A4%EB%B8%8C-%EB%8B%A4-%EC%99%80%EC%9D%BC%EB%93%9C-c6k4nft4h9zh/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중
강남구,청담동,닌텐도스위치,70000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84%EC%8A%A4%EC%9C%84%EC%B9%98-o73avxk9wsxi/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중
강남구,청담동,닌텐도 스위치 게임 판매,,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EA%B2%8C%EC%9E%84-%ED%8C%90%EB%A7%A4-e8fekw2swfk3/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매중
강남구,청담동,닌텐도 스위치 마리오 vs 동키콩,30000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%A7%88%EB%A6%AC%EC%98%A4-vs-%EB%8F%99%ED%82%A4%EC%BD%A9-rc49t2y4if1q/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
