gu,dong,title,link,status,is_OLED,is_Lite,is_Edition,price_clean,content,posted_time,is_Set
강남구,청담동,닌텐도 스위치 OLED 풀박스,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%92%80%EB%B0%95%EC%8A%A4-tj3pez3zq3mx/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,True,False,False,230000,처음 샀을때 그대로 포장해놨습니다 구성품 빠진거없고 상태 매우좋고 tv모드로만 썼습니다 본체에 보호필름 붙어져있습니다  조이콘 오른쪽이 핸들모드로 하면 인식이 됐다 안됐다 합니다.(정상적인 오른쪽 조이콘으로 테스트 해봄. 본체문제아닌 조이콘문제. 교체하면 아무문제 없음.) 조이콘은 사용감 많습니다 Tv모드로 사용할때는 전혀 문제없고 충전도 문제없이 됩니다 감안해서 싸게 올립니다 Tv모드로 사용하실분은 상관없으나 핸들모드 필요하신분은 조이콘은 새로 사시면 될거같습니다.  휴대용 닌텐도 정품 파우치도 같이 드립니다,2025-02-21,True
강남구,청담동,새상품컨디션 닌텐도 스위치 OLED 모델,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88%EC%BB%A8%EB%94%94%EC%85%98-%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%EB%AA%A8%EB%8D%B8-e7moffepopjr/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,True,False,False,320000,새상품컨디션입니다 41만5천원에 신세계이마트에서 구매했습니다 여자인데 게임을 안해봐서 취미 가질까해서 구매해놓고 한 두번쓰고 아예 쓰질않았어요 진짜 보관도 각 비닐에 잘담아서 깨끗하게했습니다 잘쓰실분 이득보는 거래하세요,2025-02-20,False
강남구,청담동,일주일 사용한 미사용급 닌텐도 스위치 oled 팝니다,https://www.daangn.com/kr/buy-sell/%EC%9D%BC%EC%A3%BC%EC%9D%BC-%EC%82%AC%EC%9A%A9%ED%95%9C-%EB%AF%B8%EC%82%AC%EC%9A%A9%EA%B8%89-%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%8C%9D%EB%8B%88%EB%8B%A4-g3jnvzdnpsdb/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,True,False,False,350000,2025.1.11 에 구매했습니다. 집에 가져와서 일주일채 안된게 사용후 일이 바빠서 손도 못대고 있습니다.   일반 스위치oled가 아니고 동물의숲 다운로드 버전이 포함되있는데 동물의숲 에디션입니다.   구매하시면 칩 없이 동물의 숲이 기기에 귀속되어 무료로 계속 플레이 가능합니다. 타이틀 구매 따로 안하셔도 되서 추가 지출 필요 없습니다.   1만원 가량의 강화유리 부착되어있으며 전체적인 상태는 매우매우매우 좋습니다.   구성품 풀구성이며 추가로 조이콘 냥발스틱 같이 드립니다.   네고는 읽지 않겠습니다  게임샵 가서 현금가 39에 구매했는데 35에 가져가세요~ 박스에 1.11 날짜로 무상as 도장 찍혀있습니다.  노쇼방지로 직거래시 예약금 만원 받겠습니다. 거래시 만원 차감,2025-02-20,True
강남구,청담동,닌텐도 스위치 OLED 팝니다,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%8C%9D%EB%8B%88%EB%8B%A4-vmc35yrsf5z6/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,True,False,False,270000,닌텐도 스위치 올레드 팝니다.   게임을 잘 안 하게 돼서 팝니다. 필름 및 케이스 끼고 사용했습니다. 상태 깨끗하고 조이스틱 쏠림 없어요!  케이스 및 8bitdo 동글(닌텐도 외 외부 컨트롤러를 스위치에 연결할 수 있는 동글) 같이 드립니다.  닌텐도 컨트롤러와 게임은 별도로 판매하오니 원하시면 말씀주셔요!  닌텐도 프로콘 45000 태고의달인 타타콘(호리) 2개 110000  젤다의전설 야숨 45000 젤다의전설 왕눈(영국판) 45000 마리오파티 슈퍼스타즈 45000 슈퍼마리오 오디세이 45000,2025-02-19,True
강남구,청담동,닌텐도 스위치 구형 판매합니다,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EA%B5%AC%ED%98%95-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-vd6b9sjxpdho/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,False,False,100000,"닌텐도 스위치 싸게 내놓습니다  2017년도 제품이고 따로 케이스 하우징 한번 했습니다  그닥 많이 사용하진않아 배터리 짱짱합니다  거의 거치용도로 썻고  액정 깨끝합니다  구매허시면 스컬엔코 닌텐도 케이스랑 전용파우치도 함께드립니다  사진 다 찍어드릴수 있습니다  많은 연락 주세요 박스는 없네요  그래도 구성품은 다 있습니다 독, HDMI 연결선 충전기  다 있으니 다 사진찍어보내드립니다 연락주세요",2025-02-01,False
강남구,청담동,닌텐도 스위치 OLED 풀박/새상품/사용X,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%92%80%EB%B0%95-%EC%83%88%EC%83%81%ED%92%88-%EC%82%AC%EC%9A%A9x-jonucj23zghi/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,True,False,False,280000,선물 받고 사용 아예 안했습니다.  작동 잘 되는지 확인 차 켜보는 것만 했습니다. 포장까지 깔끔 합니다. 시간이 조정되시면 구매자분 계신 곳 까지 가드릴 수 있습니다.,2025-01-17,True
강남구,청담동,닌텐도 스위치OLED 마리오카트+동물의숲,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98oled-%EB%A7%88%EB%A6%AC%EC%98%A4%EC%B9%B4%ED%8A%B8-%EB%8F%99%EB%AC%BC%EC%9D%98%EC%88%B2-y7wp184bk7om/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,True,False,False,370000,닌텐도스위치OLED 동물의숲 팩키지 마리오카트 디럭스 세트입니다. 롯데월드몰 토이저러스에서구매 영수증 같이드립니다. 풀세트그대로있고실사용은 2번정도됩니다. 개인플랜12개월 무료쿠폰도있습니다.  쿨거래시 에누리가능합니다.,2025-01-14,True
강남구,청담동,닌텐도 스위치 OLED 마리오카트,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%EB%A7%88%EB%A6%AC%EC%98%A4%EC%B9%B4%ED%8A%B8-3ptnobdfy3zy/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,True,False,False,300000,"닌텐도 스위치 OLED 마리오카트 디럭스8 30만원에 판매합니다.  애가 플스를 더 좋아해서 닌텐도 사용감은 거의 없으나, 그럼에도 불구하고 중고이니 너무 예민하신 분은 패스해주세요.​  풀박이고 영수증 인증 가능합니다.",2025-01-01,True
강남구,청담동,닌텐도 스위치 OLED 포켓몬스터 스칼렛 바이올렛 에디션 풀박스 판매,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%8F%AC%EC%BC%93%EB%AA%AC%EC%8A%A4%ED%84%B0-%EC%8A%A4%EC%B9%BC%EB%A0%9B-%EB%B0%94%EC%9D%B4%EC%98%AC%EB%A0%9B-%EC%97%90%EB%94%94%EC%85%98-%ED%92%80%EB%B0%95%EC%8A%A4-%ED%8C%90%EB%A7%A4-9554k2wiw4vh/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,True,False,True,400000,닌텐도 스위치 OLED 포켓몬스터 스칼렛 바이올렛 에디션 풀박스 커펌  (512기가)돼있는 제품이고요 아트모스피어 듀얼 커펌돼 있어서 칩넣고 사용가능해요  마리오카트 외 다수게임 저장돼 있어요 구성품 악세사리 모두 일괄처리합니다  사용법 아시는분이시라면 쉽게 접하실수 있을거에요 다른게임기가 있어 손이 잘 안가 판매합니다 깨끗하게 쓰는편이라 보호필름에 흠 찾기 힘들정도에요,2024-12-23,True
강남구,청담동,미개봉 닌텐도 스위치 라이트 판매합니다 !,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EA%B0%9C%EB%B4%89-%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%9D%BC%EC%9D%B4%ED%8A%B8-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-x299nkw437k1/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,True,False,200000,일본 직구입한 미개봉 상품이고 실수로 두개 구매해서 반품 비용이 너무 많이 들어 당근에 올렸습니다 ! 직거래 희망합니다 !,2024-12-19,False
